demanda_id,empresa_id,competencia,tipo_demanda,descricao,status,responsavel_operacional,estagiario_responsavel,data_limite,observacao,concluida_em,concluida_por,percentual_grupo,bloqueada,motivo_bloqueio,atualizado_em
85322,67,2026-05,GUIA_MEI,GUIA_MEI,pendente,,,,,,,0.0,0,,2026-05-31 01:01:34
85323,67,2026-05,ENV_PARC_SIMPLES,ENV_PARC_SIMPLES,pendente,,,,,,,0.0,0,,2026-05-31 01:01:34
85324,67,2026-05,REL_MEI,REL_MEI,pendente,,,,,,,0.0,0,,2026-05-31 01:01:34
85325,67,2026-05,REL_DEBITOS,REL_DEBITOS,pendente,,,,,,,0.0,0,,2026-05-31 01:01:34
76602,77,2026-05,EXEC_FOLHA,EXEC_FOLHA,pendente,,,,[Responsável: Vitor],,,0.0,0,,2026-05-31 02:09:27
76603,77,2026-05,ENV_CONTRACHEQUES,ENV_CONTRACHEQUES,pendente,,,,[Responsável: Vitor],,,0.0,0,,2026-05-31 01:04:04
76604,77,2026-05,GUIA_INSS,GUIA_INSS,pendente,,,,[Responsável: Rayana],,,0.0,0,,2026-05-31 14:11:06
76605,77,2026-05,GUIA_FGTS,GUIA_FGTS,pendente,,,,[Responsável: Rayana],,,0.0,0,,2026-05-31 14:10:57
76607,77,2026-05,APUR_ISS,APUR_ISS,pendente,,,,,,,0.0,0,,2026-05-31 01:01:45
76608,77,2026-05,ENV_PARC_SIMPLES,ENV_PARC_SIMPLES,pendente,,,,,,,0.0,0,,2026-05-31 01:01:45
76609,77,2026-05,GUIA_PREF,GUIA_PREF,pendente,,,,,,,0.0,0,,2026-05-31 01:01:45
76610,77,2026-05,REL_DEBITOS,REL_DEBITOS,pendente,,,,,,,0.0,0,,2026-05-31 01:01:46
76611,77,2026-05,PUXAR_NF_SAIDA,PUXAR_NF_SAIDA,pendente,,,,,,,0.0,0,,2026-05-31 01:01:46
76612,77,2026-05,COBRAR_HONORARIOS,COBRAR_HONORARIOS,pendente,,,,,,,0.0,0,,2026-05-31 01:01:46
76613,77,2026-05,PARC_MENSAL,PARC_MENSAL,pendente,,,,,,,0.0,0,,2026-05-31 01:01:46
76614,77,2026-05,PARC_IMPOSTOS,PARC_IMPOSTOS,pendente,,,,,,,0.0,0,,2026-05-31 01:01:46
82000,99,2026-05,OUTRA,OUTRA,pendente,,,,,,,0.0,0,,2026-05-31 01:01:36
82617,54,2026-05,OUTRA,OUTRA,pendente,,,,,,,0.0,0,,2026-05-31 01:01:38
81065,55,2026-05,PEDIR_INFOS,PEDIR_INFOS,pendente,,,,,,,0.0,0,,2026-05-31 01:01:35
81066,55,2026-05,GUIA_MEI,GUIA_MEI,pendente,,,,,,,0.0,0,,2026-05-31 01:01:35
81067,55,2026-05,REL_MEI,REL_MEI,pendente,,,,,,,0.0,0,,2026-05-31 01:01:35
81068,55,2026-05,REL_DEBITOS,REL_DEBITOS,pendente,,,,,,,0.0,0,,2026-05-31 01:01:35
83464,100,2026-05,PEDIR_INFOS,PEDIR_INFOS,pendente,,,,,,,0.0,0,,2026-05-31 01:01:47
83465,100,2026-05,PUXAR_NF_SAIDA,PUXAR_NF_SAIDA,pendente,,,,,,,0.0,0,,2026-05-31 01:01:47
83466,100,2026-05,OUTRA,OUTRA,pendente,,,,,,,0.0,0,,2026-05-31 01:01:47
101049,61,2026-05,PEDIR_INFOS,PEDIR_INFOS,pendente,,,,,,,0.0,0,,2026-05-31 01:01:39
101050,61,2026-05,GUIA_MEI,GUIA_MEI,pendente,,,,,,,0.0,0,,2026-05-31 01:01:39
101051,61,2026-05,REL_MEI,REL_MEI,pendente,,,,,,,0.0,0,,2026-05-31 01:01:39
101052,61,2026-05,REL_DEBITOS,REL_DEBITOS,pendente,,,,,,,0.0,0,,2026-05-31 01:01:39
100982,47,2026-05,EXEC_FOLHA,EXEC_FOLHA,pendente,,,,[Responsável: Vitor],,,0.0,0,,2026-05-31 02:09:27
100983,47,2026-05,ENV_CONTRACHEQUES,ENV_CONTRACHEQUES,pendente,,,,[Responsável: Vitor],,,0.0,0,,2026-05-31 01:04:04
100984,47,2026-05,GUIA_INSS,GUIA_INSS,pendente,,,,[Responsável: Rayana],,,0.0,0,,2026-05-31 14:11:06
100985,47,2026-05,PEDIR_INFOS,PEDIR_INFOS,pendente,,,,,,,0.0,0,,2026-05-31 01:01:34
100986,47,2026-05,GUIA_MEI,GUIA_MEI,pendente,,,,,,,0.0,0,,2026-05-31 01:01:34
100987,47,2026-05,REL_MEI,REL_MEI,pendente,,,,,,,0.0,0,,2026-05-31 01:01:34
100988,47,2026-05,REL_DEBITOS,REL_DEBITOS,pendente,,,,,,,0.0,0,,2026-05-31 01:01:35
82905,44,2026-05,OUTRA,OUTRA,pendente,,,,,,,0.0,0,,2026-05-31 01:01:34
68752,94,2026-05,EXEC_FOLHA,EXEC_FOLHA,pendente,,,,[Responsável: Vitor],,,0.0,0,,2026-05-31 02:09:27
68753,94,2026-05,ENV_CONTRACHEQUES,ENV_CONTRACHEQUES,pendente,,,,[Responsável: Vitor],,,0.0,0,,2026-05-31 01:04:04
68754,94,2026-05,GUIA_INSS,GUIA_INSS,pendente,,,,[Responsável: Rayana],,,0.0,0,,2026-05-31 14:11:06
68755,94,2026-05,APUR_SIMPLES,APUR_SIMPLES,pendente,,,,,,,0.0,0,,2026-05-31 01:01:47
68756,94,2026-05,PUXAR_NF_SAIDA,PUXAR_NF_SAIDA,pendente,,,,,,,0.0,0,,2026-05-31 01:01:47
85400,94,2026-05,PEDIR_INFOS,PEDIR_INFOS,pendente,,,,,,,0.0,0,,2026-05-31 01:01:47
86954,94,2026-05,GUIA_PREF,GUIA_PREF,pendente,,,,,,,0.0,0,,2026-05-31 01:01:47
86955,94,2026-05,REL_DEBITOS,REL_DEBITOS,pendente,,,,,,,0.0,0,,2026-05-31 01:01:47
86956,94,2026-05,CONS_ICMS_ST,CONS_ICMS_ST,pendente,,,,,,,0.0,0,,2026-05-31 01:01:47
86958,94,2026-05,COBRAR_HONORARIOS,COBRAR_HONORARIOS,pendente,,,,,,,0.0,0,,2026-05-31 01:01:47
68861,75,2026-05,EXEC_FOLHA,EXEC_FOLHA,pendente,,,,[Responsável: Vitor],,,0.0,0,,2026-05-31 02:09:27
68862,75,2026-05,ENV_CONTRACHEQUES,ENV_CONTRACHEQUES,pendente,,,,[Responsável: Vitor],,,0.0,0,,2026-05-31 01:04:04
68863,75,2026-05,GUIA_INSS,GUIA_INSS,pendente,,,,[Responsável: Rayana],,,0.0,0,,2026-05-31 14:11:06
68864,75,2026-05,GUIA_FGTS,GUIA_FGTS,pendente,,,,[Responsável: Rayana],,,0.0,0,,2026-05-31 14:10:57
68865,75,2026-05,PEDIR_INFOS,PEDIR_INFOS,pendente,,,,,,,0.0,0,,2026-05-31 01:01:41
68866,75,2026-05,APUR_SIMPLES,APUR_SIMPLES,pendente,,,,,,,0.0,0,,2026-05-31 01:01:41
68867,75,2026-05,GUIA_PREF,GUIA_PREF,pendente,,,,,,,0.0,0,,2026-05-31 01:01:42
68868,75,2026-05,REL_DEBITOS,REL_DEBITOS,pendente,,,,,,,0.0,0,,2026-05-31 01:01:42
68869,75,2026-05,PUXAR_NF_SAIDA,PUXAR_NF_SAIDA,pendente,,,,,,,0.0,0,,2026-05-31 01:01:42
70497,75,2026-05,ENV_PARC_SIMPLES,ENV_PARC_SIMPLES,pendente,,,,,,,0.0,0,,2026-05-31 01:01:42
